time;protocol;ip src;src port;ip dst;dst port;flags;seq;ack;options;length
07:48:21.285037;IP;164.100.61.151;1693;52.94.228.167;http;[S];1517959366:1517959486;;;120
07:48:21.285053;IP;164.100.61.151;1694;52.94.228.167;http;[S];389974981:389975101;;;120
07:48:21.285070;IP;164.100.61.151;1695;52.94.228.167;http;[S];1285828281:1285828401;;;120
07:48:21.285086;IP;164.100.61.151;1696;52.94.228.167;http;[S];376970677:376970797;;;120
07:48:21.285106;IP;192.168.190.222;61599;BP-Linux8;ssh;[.];;145;options|nop,nop,TS|val|2033239199|ecr|136695367;0
07:48:21.285121;IP;164.100.61.151;1697;52.94.228.167;http;[S];1246198474:1246198594;;;120
07:48:21.285142;IP;164.100.61.151;1698;52.94.228.167;http;[S];1299428249:1299428369;;;120
07:48:21.285161;IP;164.100.61.151;1699;52.94.228.167;http;[S];707288104:707288224;;;120
07:48:21.285181;IP;164.100.61.151;1700;52.94.228.167;http;[S];1312846122:1312846242;;;120
07:48:21.285199;IP;192.168.190.222;61599;BP-Linux8;ssh;[.];;181;options|nop,nop,TS|val|2033239199|ecr|136695367;0
07:48:21.285217;IP;164.100.61.151;l2f;52.94.228.167;http;[S];103722663:103722783;;;120
07:48:21.285238;IP;164.100.61.151;1702;52.94.228.167;http;[S];13765248:13765368;;;120
07:48:21.285258;IP;164.100.61.151;1703;52.94.228.167;http;[S];1484653471:1484653591;;;120
07:48:21.285277;IP;164.100.61.151;1704;52.94.228.167;http;[S];100828911:100829031;;;120
07:48:21.285297;IP;164.100.61.151;1705;52.94.228.167;http;[S];1606695638:1606695758;;;120
07:48:21.285317;IP;164.100.61.151;1706;52.94.228.167;http;[S];1546332089:1546332209;;;120
07:48:21.285333;IP;164.100.61.151;1707;52.94.228.167;http;[S];1817884724:1817884844;;;120
07:48:21.285350;IP;164.100.61.151;1708;52.94.228.167;http;[S];2124798066:2124798186;;;120
07:48:21.285366;IP;164.100.61.151;1709;52.94.228.167;http;[S];1217983746:1217983866;;;120
07:48:21.285382;IP;164.100.61.151;1710;52.94.228.167;http;[S];612492243:612492363;;;120
07:48:21.285399;IP;164.100.61.151;1711;52.94.228.167;http;[S];804854544:804854664;;;120
07:48:21.285415;IP;164.100.61.151;1712;52.94.228.167;http;[S];1810458206:1810458326;;;120
07:48:21.285432;IP;164.100.61.151;1713;52.94.228.167;http;[S];993361747:993361867;;;120
07:48:21.285448;IP;164.100.61.151;1714;52.94.228.167;http;[S];1470969116:1470969236;;;120
07:48:21.285464;IP;164.100.61.151;1715;52.94.228.167;http;[S];62735945:62736065;;;120
07:48:21.285481;IP;164.100.61.151;1716;52.94.228.167;http;[S];1300920803:1300920923;;;120
07:48:21.285497;IP;164.100.61.151;1717;52.94.228.167;http;[S];814436405:814436525;;;120
07:48:21.285513;IP;164.100.61.151;1718;52.94.228.167;http;[S];1576620127:1576620247;;;120
07:48:21.285530;IP;164.100.61.151;1719;52.94.228.167;http;[S];622624808:622624928;;;120
07:48:21.285546;IP;164.100.61.151;1720;52.94.228.167;http;[S];1117748252:1117748372;;;120
07:48:21.285562;IP;164.100.61.151;1721;52.94.228.167;http;[S];231625650:231625770;;;120
07:48:21.285579;IP;164.100.61.151;1722;52.94.228.167;http;[S];744602954:744603074;;;120
