time;protocol;ip src;src port;ip dst;dst port;flags;seq;ack;options;length
11:42:30.920740;IP;mauves.univ-st-etienne.fr;https;BP-Linux8;;[.];524440:525888;4883;options|nop,nop,TS|val|172357071|ecr|102923800;1448
11:42:30.920742;IP;mauves.univ-st-etienne.fr;https;BP-Linux8;;[.];525888:527336;4883;options|nop,nop,TS|val|172357071|ecr|102923800;1448
11:42:30.920743;IP;mauves.univ-st-etienne.fr;https;BP-Linux8;;[.];527336:528784;4883;options|nop,nop,TS|val|172357071|ecr|102923800;1448
11:42:30.920745;IP;mauves.univ-st-etienne.fr;https;BP-Linux8;;[.];528784:530232;4883;options|nop,nop,TS|val|172357071|ecr|102923800;1448
11:42:30.920746;IP;mauves.univ-st-etienne.fr;https;BP-Linux8;;[.];530232:531680;4883;options|nop,nop,TS|val|172357071|ecr|102923800;1448
11:42:30.920747;IP;mauves.univ-st-etienne.fr;https;BP-Linux8;;[P.];531680:531993;4883;options|nop,nop,TS|val|172357071|ecr|102923800;313
11:42:30.920866;IP;BP-Linux8;41484;ns1.lan.rt;;;;;;
11:42:30.928521;IP;BP-Linux8;40678;mauves.univ-st-etienne.fr;;[.];;531993;options|nop,nop,TS|val|102923802|ecr|172357071;0
11:42:30.943654;IP;ns1.lan.rt;domain;BP-Linux8;;;;;;
11:42:30.957624;IP;BP-Linux8;33251;par21s20-in-f14.1e100.net;;[P.];299:462;4830;options|nop,nop,TS|val|102923810|ecr|1077961537;163
11:42:30.957670;IP;BP-Linux8;33251;par21s20-in-f14.1e100.net;;[P.];462:700;4830;options|nop,nop,TS|val|102923810|ecr|1077961537;238
11:42:30.969520;IP;par21s20-in-f14.1e100.net;https;BP-Linux8;;[P.];4830:4868;462;options|nop,nop,TS|val|1077961715|ecr|102923810;38
11:42:30.969532;IP;BP-Linux8;33251;par21s20-in-f14.1e100.net;;[.];;4868;options|nop,nop,TS|val|102923813|ecr|1077961715;0
11:42:30.969986;IP;par21s20-in-f14.1e100.net;https;BP-Linux8;;[P.];4868:5276;700;options|nop,nop,TS|val|1077961715|ecr|102923810;408
11:42:30.969990;IP;BP-Linux8;33251;par21s20-in-f14.1e100.net;;[.];;5276;options|nop,nop,TS|val|102923813|ecr|1077961715;0
11:42:30.970163;IP;par21s20-in-f14.1e100.net;https;BP-Linux8;;[P.];5276:6694;700;options|nop,nop,TS|val|1077961715|ecr|102923810;1418
11:42:30.970166;IP;BP-Linux8;33251;par21s20-in-f14.1e100.net;;[.];;6694;options|nop,nop,TS|val|102923813|ecr|1077961715;0
11:42:30.970172;IP;par21s20-in-f14.1e100.net;https;BP-Linux8;;[.];6694:8112;700;options|nop,nop,TS|val|1077961715|ecr|102923810;1418
11:42:30.970174;IP;BP-Linux8;33251;par21s20-in-f14.1e100.net;;[.];;8112;options|nop,nop,TS|val|102923813|ecr|1077961715;0
11:42:30.970178;IP;par21s20-in-f14.1e100.net;https;BP-Linux8;;[.];8112:9530;700;options|nop,nop,TS|val|1077961715|ecr|102923810;1418
11:42:30.970181;IP;BP-Linux8;33251;par21s20-in-f14.1e100.net;;[.];;9530;options|nop,nop,TS|val|102923813|ecr|1077961715;0
11:42:30.970185;IP;par21s20-in-f14.1e100.net;https;BP-Linux8;;[P.];9530:10948;700;options|nop,nop,TS|val|1077961715|ecr|102923810;1418
11:42:30.970187;IP;BP-Linux8;33251;par21s20-in-f14.1e100.net;;[.];;10948;options|nop,nop,TS|val|102923813|ecr|1077961715;0
11:42:30.970911;IP;par21s20-in-f14.1e100.net;https;BP-Linux8;;[.];10948:12366;700;options|nop,nop,TS|val|1077961716|ecr|102923810;1418
11:42:30.970914;IP;BP-Linux8;33251;par21s20-in-f14.1e100.net;;[.];;12366;options|nop,nop,TS|val|102923813|ecr|1077961716;0
11:42:30.971050;IP;par21s20-in-f14.1e100.net;https;BP-Linux8;;[.];12366:13784;700;options|nop,nop,TS|val|1077961716|ecr|102923810;1418
11:42:30.971052;IP;BP-Linux8;33251;par21s20-in-f14.1e100.net;;[.];;13784;options|nop,nop,TS|val|102923813|ecr|1077961716;0
11:42:30.971058;IP;par21s20-in-f14.1e100.net;https;BP-Linux8;;[P.];13784:15202;700;options|nop,nop,TS|val|1077961716|ecr|102923810;1418
11:42:30.971059;IP;BP-Linux8;33251;par21s20-in-f14.1e100.net;;[.];;15202;options|nop,nop,TS|val|102923813|ecr|1077961716;0
11:42:30.971814;IP;par21s20-in-f14.1e100.net;https;BP-Linux8;;[.];15202:16620;700;options|nop,nop,TS|val|1077961717|ecr|102923810;1418
11:42:30.971818;IP;BP-Linux8;33251;par21s20-in-f14.1e100.net;;[.];;16620;options|nop,nop,TS|val|102923813|ecr|1077961717;0
11:42:30.971951;IP;par21s20-in-f14.1e100.net;https;BP-Linux8;;[.];16620:18038;700;options|nop,nop,TS|val|1077961717|ecr|102923810;1418
